DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Comment
"Gansbaai GW2",117494,Mk10,05:38:00 29-May-2012,GPE,,-35.00000000,20.51926994,,166680,33877,0,,,1.415611,4.246832,
"Gansbaai GW2",117494,Mk10,05:54:00 31-May-2012,GPE,,-34.00000000,22.00054932,,333360,43785,0,111120,180,4.085337,24.512020,
"Gansbaai GW2",117494,Mk10,15:55:00 31-May-2012,GPE,,-36.00000000,20.19957924,,250020,63636,0,55560,180,2.444193,10.998870,
"Gansbaai GW2",117494,Mk10,05:50:00 01-Jun-2012,GPE,,-39.50000000,21.95758057,,250020,64095,0,55560,180,3.141304,14.135870,
"Gansbaai GW2",117494,Mk10,15:49:00 01-Jun-2012,GPE,,-37.50000000,22.71412086,,222240,70036,0,,,2.490865,9.963460,
"Gansbaai GW2",117494,Mk10,05:50:00 02-Jun-2012,GPE,,-35.50000000,21.33074951,,277800,116530,0,,,3.269944,16.349720,
"Gansbaai GW2",117494,Mk10,15:53:00 02-Jun-2012,GPE,,-37.00000000,20.50926971,,277800,103717,0,,,3.329756,16.648781,
"Gansbaai GW2",117494,Mk10,05:48:00 03-Jun-2012,GPE,,-36.50000000,20.63162041,,250020,86569,0,55560,180,2.608008,11.736040,
"Gansbaai GW2",117494,Mk10,15:57:00 03-Jun-2012,GPE,,-37.50000000,20.09795952,,250020,115606,0,55560,180,2.820851,12.693830,
"Gansbaai GW2",117494,Mk10,05:47:00 04-Jun-2012,GPE,,-36.50000000,20.05110931,,138900,17865,0,55560,180,1.065580,2.663951,
"Gansbaai GW2",117494,Mk10,15:43:00 04-Jun-2012,GPE,,-35.00000000,20.62157059,,194460,75372,0,55560,180,1.478536,5.174878,
"Gansbaai GW2",117494,Mk10,05:42:00 05-Jun-2012,GPE,,-33.50000000,19.69655037,,250020,129663,0,55560,180,2.190690,9.858107,
"Gansbaai GW2",117494,Mk10,15:31:00 05-Jun-2012,GPE,,-34.50000000,19.04742050,,333360,133880,0,111120,180,2.890644,17.343861,
"Gansbaai GW2",117494,Mk10,05:52:00 06-Jun-2012,GPE,,-34.50000000,19.41966057,,194460,69430,0,55560,0,1.603438,5.612034,
"Gansbaai GW2",117494,Mk10,15:55:00 06-Jun-2012,GPE,,-36.50000000,18.73222923,,166680,20424,0,,,1.434256,4.302767,
"Gansbaai GW2",117494,Mk10,06:10:00 08-Jun-2012,GPE,,-39.50000000,20.60032082,,361140,102441,0,166680,180,4.544897,29.541830,
"Gansbaai GW2",117494,Mk10,15:50:00 08-Jun-2012,GPE,,-37.50000000,21.39053917,,277800,132559,0,,,3.095969,15.479840,
