DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
"Cow shark 1",117484,0.500000,Mk10,12:00:00 25-Jun-2013,GPE,-34.50000000,18.24319077,0.000000,0.250000,Archive,10.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 25-Jun-2013,GPE,-34.00000000,18.73984909,0.000000,0.250000,Archive,6.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 26-Jun-2013,GPE,-34.00000000,18.73984909,0.500000,0.250000,Archive,10.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 26-Jun-2013,GPE,-35.50000000,18.95033073,1.500000,0.250000,Archive,9.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 26-Jun-2013,GPE,-35.50000000,18.95033073,0.000000,0.250000,Archive,9.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 26-Jun-2013,GPE,-35.00000000,19.28824997,0.000000,0.250000,Archive,5.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 27-Jun-2013,GPE,-35.00000000,19.28824997,0.000000,0.250000,Archive,7.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 27-Jun-2013,GPE,-34.00000000,18.82286072,1.500000,0.250000,Archive,10.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 27-Jun-2013,GPE,-34.00000000,18.82286072,0.000000,0.250000,Archive,10.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 27-Jun-2013,GPE,-35.00000000,18.20977020,0.000000,0.250000,Archive,9.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 28-Jun-2013,GPE,-35.00000000,18.20977020,0.000000,0.250000,Archive,8.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 28-Jun-2013,GPE,-35.00000000,18.20977020,3.000000,0.250000,Archive,8.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 28-Jun-2013,GPE,-35.00000000,18.20977020,0.000000,0.250000,Archive,23.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 28-Jun-2013,GPE,-35.00000000,18.20977020,22.000000,0.250000,Archive,41.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,00:00:00 29-Jun-2013,GPE,-35.00000000,18.20977020,0.000000,0.250000,Archive,41.000000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,06:00:00 29-Jun-2013,GPE,-35.00000000,18.20977020,1.500000,0.250000,Archive,9.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,12:00:00 29-Jun-2013,GPE,-34.50000000,18.86046982,0.000000,0.250000,Archive,16.500000,0.250000,Archive
"Cow shark 1",117484,0.500000,Mk10,18:00:00 29-Jun-2013,GPE,-34.50000000,18.47839928,0.000000,0.250000,Archive,24.500000,0.250000,Archive
