DeployID,Ptt,DepthSensor,Source,Instr,Date,Hours,LocationQuality,Latitude,Longitude,PerCentMLTime,MLTave,MLTmin,MLTmax,MLDExtreme,SSTAve,SSTmin,SSTmax,TempMin,DepthMin,DepthMax
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 18-Jul-2013,6,GPE,-34.50000000,18.34383965,,,,,,,,,11.33,36.25,38.75
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 18-Jul-2013,6,GPE,-34.50000000,18.34383965,0.000000,13.950001,13.875001,14.025001,28.750000,,,,11.28,27.25,39.75
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 18-Jul-2013,6,GPE,-34.00000000,18.05987930,3.000000,14.218183,13.875001,14.425001,31.250000,,,,11.23,25.25,40.25
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 19-Jul-2013,6,GPE,-34.00000000,18.05987930,13.000000,14.216327,13.925001,14.475000,31.250000,,,,11.63,22.25,41.75
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 19-Jul-2013,6,GPE,-34.50000000,18.35059929,,,,,,,,,11.58,35.75,45.25
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 19-Jul-2013,6,GPE,-34.50000000,18.35059929,,,,,,,,,11.78,32.25,41.25
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 19-Jul-2013,6,GPE,-34.50000000,18.14290047,,,,,,,,,11.33,30.75,41.75
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 20-Jul-2013,6,GPE,-34.50000000,18.14290047,0.000000,14.000001,13.875001,14.075001,27.250000,,,,11.28,24.25,40.75
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 20-Jul-2013,6,GPE,-34.00000000,17.86120033,,,,,,,,,11.58,33.75,37.25
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 20-Jul-2013,6,GPE,-34.00000000,17.86120033,,,,,,,,,12.43,33.75,38.25
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 20-Jul-2013,6,GPE,-34.00000000,18.24419022,,,,,,,,,11.53,33.75,38.75
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 21-Jul-2013,6,GPE,-34.00000000,18.24419022,12.000000,14.117443,13.875001,14.275001,29.250000,,,,11.38,16.75,41.25
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 21-Jul-2013,6,GPE,-34.00000000,18.53520966,,,,,,,,,11.53,34.25,37.25
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 21-Jul-2013,6,GPE,-34.00000000,18.53520966,4.000000,13.956667,13.875001,14.025001,37.750000,,,,11.53,32.75,38.75
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 21-Jul-2013,6,GPE,-32.50000000,17.69066048,,,,,,,,,11.58,32.75,38.75
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 22-Jul-2013,6,GPE,-32.50000000,17.69066048,5.000000,14.075001,13.875001,14.325001,31.250000,,,,11.83,25.75,37.25
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 22-Jul-2013,6,GPE,-31.50000000,18.10679054,,,,,,,,,11.83,35.25,38.25
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 22-Jul-2013,6,GPE,-31.50000000,18.10679054,2.000000,14.088890,13.875001,14.225000,31.250000,,,,11.88,27.25,39.75
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 22-Jul-2013,6,GPE,-33.00000000,19.17444038,,,,,,,,,12.03,30.75,39.25
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 23-Jul-2013,6,GPE,-33.00000000,19.17444038,,,,,,,,,11.98,33.25,38.25
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 23-Jul-2013,6,GPE,-33.00000000,19.82959938,,,,,,,,,12.03,34.75,38.25
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 23-Jul-2013,6,GPE,-33.00000000,19.82959938,15.000000,14.297322,13.875001,14.525001,33.750000,,,,12.18,22.25,38.75
"Cow shark 1",117484,0.500000,DAP,Mk10,18:00:00 23-Jul-2013,6,GPE,-30.50000000,18.99106979,22.000000,14.229879,13.875001,14.625001,34.750000,,,,12.03,28.75,38.25
"Cow shark 1",117484,0.500000,DAP,Mk10,00:00:00 24-Jul-2013,6,GPE,-30.50000000,18.99106979,,,,,,,,,12.23,35.25,42.75
"Cow shark 1",117484,0.500000,DAP,Mk10,06:00:00 24-Jul-2013,6,GPE,-35.50000000,16.91765022,98.000000,14.017281,13.875001,14.225000,36.250000,,,,13.13,18.75,38.75
"Cow shark 1",117484,0.500000,DAP,Mk10,12:00:00 24-Jul-2013,6,GPE,-35.50000000,16.91765022,100.000000,13.981806,13.925001,14.075001,30.250000,,,,13.93,19.75,30.25
